raceId,TrackTemp_mean,TrackTemp_min,TrackTemp_max,AirTemp_mean,AirTemp_min,AirTemp_max,Humidity_mean,Humidity_min,Humidity_max
1031,36.85714285714286,36.85714285714286,36.85714285714286,26.857142857142858,26.857142857142858,26.857142857142858,41.42857142857143,41.42857142857143,41.42857142857143
1032,29.0,29.0,29.0,19.0,19.0,19.0,40.57142857142857,40.57142857142857,40.57142857142857
1033,30.0,30.0,30.0,20.0,20.0,20.0,84.71428571428571,84.71428571428571,84.71428571428571
1034,31.0,31.0,31.0,21.0,21.0,21.0,47.4,47.4,47.4
1035,36.0,36.0,36.0,26.0,26.0,26.0,59.8,59.8,59.8
1036,37.42857142857143,37.42857142857143,37.42857142857143,27.42857142857143,27.428571428571427,27.428571428571427,67.71428571428571,67.71428571428571,67.71428571428571
1037,25.457142857142856,25.457142857142856,25.457142857142856,15.457142857142857,15.457142857142857,15.457142857142857,74.14285714285714,74.14285714285714,74.14285714285714
1038,25.0,25.0,25.0,20.0,20.0,20.0,50.0,50.0,50.0
1039,41.64285714285714,41.64285714285714,41.64285714285714,31.642857142857142,31.642857142857142,31.642857142857142,33.42857142857143,33.42857142857143,33.42857142857143
1040,35.37142857142857,35.37142857142857,35.37142857142857,25.37142857142857,25.37142857142857,25.37142857142857,58.57142857142857,58.57142857142857,58.57142857142857
1041,17.5,17.5,17.5,7.500000000000001,7.500000000000001,7.500000000000001,72.42857142857143,72.42857142857143,72.42857142857143
1042,29.88571428571429,29.88571428571429,29.88571428571429,19.88571428571429,19.88571428571429,19.88571428571429,86.71428571428571,86.71428571428571,86.71428571428571
1043,25.857142857142858,25.857142857142858,25.857142857142858,15.857142857142858,15.857142857142858,15.857142857142858,68.42857142857143,68.42857142857143,68.42857142857143
1044,22.657142857142855,22.65714285714286,22.65714285714286,12.657142857142858,12.657142857142858,12.657142857142858,80.42857142857143,80.42857142857143,80.42857142857143
1045,35.385714285714286,35.385714285714286,35.385714285714286,25.38571428571429,25.38571428571429,25.38571428571429,68.42857142857143,68.42857142857143,68.42857142857143
1046,32.72857142857143,32.72857142857143,32.72857142857143,22.728571428571424,22.728571428571428,22.728571428571428,62.142857142857146,62.142857142857146,62.142857142857146
1047,32.471428571428575,32.471428571428575,32.471428571428575,22.47142857142857,22.47142857142857,22.47142857142857,56.714285714285715,56.714285714285715,56.714285714285715
1051,35.67142857142858,35.67142857142858,35.67142857142858,25.671428571428574,25.671428571428574,25.671428571428574,79.85714285714286,79.85714285714286,79.85714285714286
1052,31.04285714285714,31.04285714285714,31.04285714285714,21.04285714285714,21.04285714285714,21.04285714285714,54.0,54.0,54.0
