Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,EventName,SessionName,EventFormat,RoundNumber
0 days 01:12:22.522000,30.2,24.3,1015.3,False,41.9,179,0.7,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:13:22.533000,30.2,24.3,1015.3,False,41.9,179,0.7,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:14:22.641000,30.4,23.7,1015.2,False,41.8,178,1.0,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:15:22.562000,30.4,23.7,1015.2,False,41.8,178,1.0,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:16:22.576000,30.3,23.8,1015.3,False,41.9,334,0.5,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:17:22.614000,30.2,24.1,1015.1,False,41.8,266,0.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:18:22.604000,30.2,24.1,1015.1,False,41.8,266,0.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:19:22.618000,30.1,24.5,1015.2,False,41.4,333,1.5,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:20:22.633000,29.4,25.2,1015.2,False,41.1,184,0.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:21:22.648000,29.4,25.2,1015.2,False,41.1,184,0.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:22:22.661000,29.6,24.9,1015.2,False,41.1,0,0.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:23:22.675000,29.6,24.9,1015.2,False,41.1,0,0.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:24:22.691000,30.0,24.8,1015.2,False,41.1,130,0.0,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:25:22.708000,30.0,24.8,1015.2,False,41.1,130,0.0,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:26:22.718000,30.2,24.4,1015.1,False,41.1,212,0.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:27:23.031000,30.2,23.7,1015.1,False,41.0,138,1.1,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:28:22.749000,30.3,23.9,1015.0,False,40.8,326,0.3,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:29:22.761000,30.3,23.9,1015.0,False,40.8,326,0.3,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:30:22.817000,29.9,24.0,1015.1,False,40.5,172,1.0,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:31:22.788000,29.9,24.0,1015.1,False,40.5,172,1.0,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:32:22.803000,30.0,24.0,1015.1,False,40.5,99,0.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:33:22.940000,30.0,24.4,1015.1,False,40.5,352,0.7,2018,Australian Grand Prix,FP2,conventional,1
